Id,Designator,Footprint,Quantity,Designation,Supplier and ref,
1,J1,TerminalBlock_Altech_AK300-2_P5.00mm,1,Battery,~,
2,C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,1uF,~,
3,J7,TerminalBlock_bornier-8_P5.08mm,1,GND,~,
4,J10,TerminalBlock_Altech_AK300-3_P5.00mm,1,+6V,~,
5,J5,TerminalBlock_Altech_AK300-3_P5.00mm,1,Servos,~,
6,U2,TO-263-5_TabPin3,1,LM2596S-5,~,
7,REF**,STAR,1,STAR,~,
8,R3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,97.6k?,~,
9,U1,SSOP-24_5.3x8.2mm_P0.65mm,1,TB6612FNG,~,
10,A1,Arduino_Nano,1,~,~,
11,J4,TerminalBlock_bornier-6_P5.08mm,1,M1,~,
12,J2,TerminalBlock_bornier-6_P5.08mm,1,M2,~,
13,R5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,442k?,~,
14,J8,TerminalBlock_bornier-5_P5.08mm,1,+5V,~,
15,"C8,C1,C11,C3,C13",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,5,0.1uF,~,
16,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,22uF,~,
17,C9,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,100uF,~,
18,"C2,C4,C14",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,3,10uF,~,
19,J3,TerminalBlock_Altech_AK300-2_P5.00mm,1,UART,~,
20,L1,L_6.3x6.3_H3,1,33uH,~,
21,R7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,16.9k?,~,
22,C12,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,4.7uF,~,
23,J12,TerminalBlock_Altech_AK300-3_P5.00mm,1,SCL,~,
24,ACC1,GY-521,1,GY-521,~,
25,"R1,R2",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,138k?,~,
26,L2,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1uH,~,
27,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10.9k?,~,
28,J6,TerminalBlock_Altech_AK300-2_P5.00mm,1,HX711,~,
29,U3,AOZ226NQI-11,1,AOZ2262NQI-11,~,
30,C5,CP_Radial_D6.3mm_P2.50mm,1,470uF,~,
31,D1,D_DO-201AD_P15.24mm_Horizontal,1,1N5820,~,
32,R6,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,100k?,~,
33,J13,TerminalBlock_Altech_AK300-3_P5.00mm,1,SDA,~,
34,C7,CP_Radial_D6.3mm_P2.50mm,1,330uF,~,
